Business Name,Address Line 1,Address Line 2,Address Line 3,Postcode,Business Type ID,Business Type Description,Food Hygiene Rating Scheme ID,Food Hygiene Rating Scheme Type,Hygiene Score,Structural Score,Confidence In Management Score,Rating Value,Rating Date,New Rating Pending,Local Authority Business ID,Local Authority Code,Local Authority Name,Local Authority Email Address,Local Authority Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
Baxter Storey,Euston House,24      Eversholt Street,London,NW1 1DB,1,Restaurant/Cafe/Canteen,425433,FHRS,5,0,0,5,27/07/2010,False,55837,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,529695,182728,-0.131756,51.528578,Unknown,08/05/2016,"(51.528578, -0.131756)",171
Pineapple Thai Kitchen,,51 Leverton Street,,NW5 2NX,7841,Other catering premises,708540,FHRS,10,5,5,4,08/03/2016,False,82155,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,529085,185484,-0.139534,51.553493,Unknown,08/05/2016,"(51.553493, -0.139534)",1724
Pizza Hut,Premier House,150      Southampton Row,London,WC1B 5BQ,1,Restaurant/Cafe/Canteen,424384,FHRS,0,0,0,5,18/03/2011,False,22492,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1741
Baxter Storey Mid City Place,,71      High Holborn,,WC1V 6EA,1,Restaurant/Cafe/Canteen,425627,FHRS,5,0,0,5,19/10/2011,False,58472,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530809,181633,-0.116112,51.518481,Unknown,08/05/2016,"(51.518481, -0.116112)",177
Saatchi & Saatchi,,80 Charlotte Street,,W1T 4QP,1,Restaurant/Cafe/Canteen,759387,FHRS,5,10,10,3,09/03/2015,False,83443,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529352,181872,-0.137025,51.520972,Unknown,08/05/2016,"(51.520972, -0.137025)",1948
GreenLight Pharmacy,,62-64      Hampstead Road,London,NW1 2NU,4613,Retailers - other,426272,FHRS,,,,Exempt,11/02/2012,False,7031,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529245,182505,-0.138321,51.526677,Unknown,08/05/2016,"(51.526677, -0.138321)",970
Greenberry cafe,,101      Regent's Park Road,,NW1 8UR,1,Restaurant/Cafe/Canteen,551140,FHRS,10,10,10,3,11/11/2014,False,75798,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,527953,184198,-0.156334,51.542194,Unknown,08/05/2016,"(51.542194, -0.156334)",971
Greenland Butchers,,10      Greenland Road,London,NW1 0AY,4613,Retailers - other,424234,FHRS,10,10,10,3,30/10/2015,False,21251,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,529072,183920,-0.140309,51.539433,Unknown,08/05/2016,"(51.539433, -0.140309)",972
Greenland News,,14      Greenland Road,London,NW1 0AY,4613,Retailers - other,425956,FHRS,5,10,10,3,20/09/2010,False,6238,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,529072,183920,-0.140309,51.539433,Unknown,08/05/2016,"(51.539433, -0.140309)",973
Greenlight Pharmacy,,6      Cricklewood Broadway,London,NW2 3HD,4613,Retailers - other,425264,FHRS,,,,Exempt,13/07/2009,False,52931,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,524175,185291,-0.210398,51.55286,Unknown,08/05/2016,"(51.55286, -0.210398)",974
Greens of Glastonbury Cheese,,Malet Street,London,WC1E 7JG,7844,Takeaway/sandwich shop,426337,FHRS,5,0,0,5,10/11/2011,False,71725,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529692,182124,-0.132021,51.523159,Unknown,08/05/2016,"(51.523159, -0.132021)",975
Greetings,,251      Kentish Town Road,London,NW5 2JT,4613,Retailers - other,624306,FHRS,,,,Exempt,22/11/2013,False,56331,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,528963,184891,-0.14151,51.548192,Unknown,08/05/2016,"(51.548192, -0.14151)",976
Greggs,,137      Camden High Street,London,NW1 7JR,7844,Takeaway/sandwich shop,426343,FHRS,5,0,5,5,30/01/2012,False,71800,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528959,183682,-0.142024,51.537328,Unknown,08/05/2016,"(51.537328, -0.142024)",978
Greggs,,81      Leather Lane,London,EC1N 7TS,7844,Takeaway/sandwich shop,426537,FHRS,0,5,5,5,19/03/2014,False,9549,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,531203,181969,-0.110312,51.521409,Unknown,08/05/2016,"(51.521409, -0.110312)",979
Aramark Ltd,Hughes Parry Hall,Cartwright Gardens,London,WC1H 9EF,7845,School/college/university,424106,FHRS,0,5,0,5,09/08/2012,False,20397,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,530048,182618,-0.126724,51.527517,Unknown,08/05/2016,"(51.527517, -0.126724)",98
Greggs PLC,,92      Tottenham Court Road,London,W1T 4TL,7841,Other catering premises,426325,FHRS,0,5,0,5,02/11/2011,False,71622,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529416,181987,-0.136047,51.521991,Unknown,08/05/2016,"(51.521991, -0.136047)",980
Greggs Plc,,311      Kentish Town Road,London,NW5 2TJ,7844,Takeaway/sandwich shop,423907,FHRS,5,5,5,5,12/02/2013,False,14410,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,528980,185137,-0.141189,51.550399,Unknown,08/05/2016,"(51.550399, -0.141189)",981
Grenville House Hotel,,4      Guilford Street,London,WC1N 1DR,7842,Hotel/bed & breakfast/guest house,424766,FHRS,10,15,10,2,15/03/2016,False,33298,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530781,182263,-0.116282,51.524149,Unknown,08/05/2016,"(51.524149, -0.116282)",982
Grill Market Holborn,,10 Theobald's Road,,WC1X 8PN,1,Restaurant/Cafe/Canteen,688206,FHRS,15,10,10,2,05/11/2015,False,80637,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530954,181975,-0.113896,51.521529,Unknown,08/05/2016,"(51.521529, -0.113896)",983
Starbucks,"Northern Ticket Hall, Kings Cross And St Pancras Underground Station",Euston Road,,N1 9AP,7844,Takeaway/sandwich shop,653515,FHRS,5,5,10,4,03/02/2014,False,79930,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,2137
Sticky Fingers and Pizza and Falafel,,,,,7846,Mobile caterer,639843,FHRS,5,5,5,5,20/02/2014,False,79381,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,2166
Swiss Cottage School,Swiss Cottage School,80      Avenue Road,,NW8 6HX,7845,School/college/university,543110,FHRS,0,0,5,5,26/02/2016,False,20080,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,2228
Thai Food,"Pitch 6, Earlham Street Market",Earlham Street,London,,7846,Mobile caterer,425840,FHRS,5,10,5,4,26/04/2012,False,61469,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,2283
Travelodge,,10      Drury Lane,London,WC2B 5RE,7842,Hotel/bed & breakfast/guest house,423928,FHRS,5,5,5,5,23/01/2013,False,14756,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530259,181322,-0.124149,51.515813,Unknown,08/05/2016,"(51.515813, -0.124149)",2582
Trends Wine Merchants,,65      Mill Lane,London,NW6 1NB,4613,Retailers - other,424626,FHRS,,,,Exempt,17/06/2015,False,2874,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,525119,185229,-0.196798,51.552094,Unknown,08/05/2016,"(51.552094, -0.196798)",2586
Two Brewers,,40      Monmouth Street,London,WC2H 9EP,7843,Pub/bar/nightclub,423825,FHRS,0,5,0,5,13/02/2014,False,13363,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530047,181033,-0.127323,51.513265,Unknown,08/05/2016,"(51.513265, -0.127323)",2602
Upper Crust  Barrier Line,"Unit 23, Euston Station",Eversholt Street,London,NW1 2DU,7844,Takeaway/sandwich shop,424182,FHRS,5,5,0,5,14/01/2012,False,20827,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529587,182735,-0.133309,51.528674,Unknown,08/05/2016,"(51.528674, -0.133309)",2615
Boots The Chemist Ltd,,40-42      Brunswick Centre,London,WC1N 1AE,4613,Retailers - other,426502,FHRS,5,10,0,4,02/10/2014,False,8889,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,530240,182214,-0.124107,51.523842,Unknown,08/05/2016,"(51.523842, -0.124107)",263
Wagamama,"Unit 1, Kingswell",58-62      Heath Street,London,NW3 1EN,1,Restaurant/Cafe/Canteen,470819,FHRS,5,5,0,5,08/05/2012,False,70354,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,526402,185805,-0.178096,51.556985,Unknown,08/05/2016,"(51.556985, -0.178096)",2658
Waitrose,,319-323      West End Lane,,NW6 1RP,7840,Retailers - supermarkets/hypermarkets,773817,FHRS,0,0,5,5,03/06/2015,False,78231,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,525421,185179,-0.192476,51.551578,Unknown,08/05/2016,"(51.551578, -0.192476)",2667
Wild Juicery UN,,16      Neal's Yard,,WC2H 9DP,1,Restaurant/Cafe/Canteen,485302,FHRS,5,5,10,4,03/12/2012,False,74664,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530109,181179,-0.126376,51.514571,Unknown,08/05/2016,"(51.514571, -0.126376)",2708
1a Children's Centre,,1A      Rosebery Avenue,London,EC1R 4RT,1,Restaurant/Cafe/Canteen,426524,FHRS,5,0,0,5,11/09/2015,False,9310,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,3
Cafe Swiss,Swiss Cottage School,80 Avenue Road,,NW8 6HX,1,Restaurant/Cafe/Canteen,704081,FHRS,10,0,10,4,25/06/2014,False,81158,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,393
Commonwealth Hall,Commonwealth Hall,1-11      Cartwright Gardens,London,WC1H 9EA,7842,Hotel/bed & breakfast/guest house,425923,FHRS,10,10,0,4,25/02/2012,False,622,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,581
Anna Maes Southern Street Food,,,,,7846,Mobile caterer,554971,FHRS,5,5,5,5,30/05/2013,False,73174,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,85
Global Food & News,,104      Eversholt Street,London,NW1 1BP,4613,Retailers - other,425722,FHRS,5,0,10,4,23/04/2009,False,60170,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,529542,182935,-0.133884,51.530473,Unknown,08/05/2016,"(51.530473, -0.133884)",935
113 Restaurant & Bar,,111-113      Hampstead Road,London,NW1 3EE,1,Restaurant/Cafe/Canteen,424907,FHRS,15,10,20,1,14/07/2015,False,39608,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529194,182650,-0.139002,51.528,Unknown,08/05/2016,"(51.528, -0.139002)",1
Greggs,,5      High Holborn,,WC1V 6DR,1,Restaurant/Cafe/Canteen,470891,FHRS,5,0,5,5,21/11/2012,False,75040,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,531097,181643,-0.111974,51.518504,Unknown,08/05/2016,"(51.518504, -0.111974)",977
Grosvenor Casino Russell Square,,61-66      Russell Square,London,WC1B 5BA,7841,Other catering premises,426487,FHRS,10,5,5,4,12/02/2014,False,8778,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530244,182038,-0.124101,51.522251,Unknown,08/05/2016,"(51.522251, -0.124101)",984
Ground Floor Cafe - Food standards agency,Aviation House,125-129 Kingsway,,WC2B 6NH,1,Restaurant/Cafe/Canteen,720386,FHRS,0,5,0,5,21/11/2014,False,81819,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530503,181457,-0.120599,51.51697,Unknown,08/05/2016,"(51.51697, -0.120599)",985
Gulshaan Restaurant,,343      Kentish Town Road,London,NW5 2TJ,1,Restaurant/Cafe/Canteen,423910,FHRS,5,5,0,5,20/09/2012,False,14433,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,528980,185137,-0.141189,51.550399,Unknown,08/05/2016,"(51.550399, -0.141189)",992
Gupta Confectioners Ltd,,100      Drummond Street,London,NW1 2HN,4613,Retailers - other,426261,FHRS,15,10,10,2,13/10/2014,False,7014,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529348,182570,-0.136813,51.527246,Unknown,08/05/2016,"(51.527246, -0.136813)",994
Guzels International Food,,175      Kentish Town Road,London,NW1 8PD,4613,Retailers - other,424891,FHRS,10,10,5,3,20/09/2010,False,3861,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,528940,184619,-0.141955,51.545753,Unknown,08/05/2016,"(51.545753, -0.141955)",995
H&W Catering Ltd,,1a      Montague Place,London,WC1E 7JW,1,Restaurant/Cafe/Canteen,426288,FHRS,5,0,5,5,26/01/2012,False,70959,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529938,181766,-0.128623,51.519877,Unknown,08/05/2016,"(51.519877, -0.128623)",996
H.V. Thomas (Chemist),,81      Mill Lane,London,NW6 1ND,4613,Retailers - other,424319,FHRS,,,,Exempt,29/01/2010,False,21969,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,525187,185236,-0.195829,51.552142,Unknown,08/05/2016,"(51.552142, -0.195829)",997
Habitat,The O2 Centre,255      Finchley Road,London,NW3 6LU,4613,Retailers - other,667800,FHRS,,,,Exempt,29/01/2013,False,55289,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,526196,184795,-0.181428,51.547954,Unknown,08/05/2016,"(51.547954, -0.181428)",998
Hakkasan,,8      Hanway Place,London,W1P 9DL,1,Restaurant/Cafe/Canteen,424885,FHRS,10,10,0,4,06/07/2015,False,38204,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,999
Henry Burns,"Pitch 96, Leather Lane Market",Leather Lane,London,,4613,Retailers - other,424955,FHRS,5,5,5,5,05/11/2008,False,41749,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1044
Hook Restaurant,,63-65 Parkway,,NW1 7PP,1,Restaurant/Cafe/Canteen,773833,FHRS,5,5,10,4,18/06/2015,False,82181,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528722,183665,-0.145445,51.537229,Unknown,08/05/2016,"(51.537229, -0.145445)",1080
Humaira Tandoori Restaurant,,112      Judd Street,London,WC1H 9NT,1,Restaurant/Cafe/Canteen,424266,FHRS,10,10,10,3,04/07/2012,False,21556,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,530177,182667,-0.124834,51.527919,Unknown,08/05/2016,"(51.527919, -0.124834)",1094
ITSU,,236      High Holborn,London,WC1V 7DS,1,Restaurant/Cafe/Canteen,425646,FHRS,0,5,0,5,23/03/2015,False,58831,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1103
Iceland Foods Ltd,Icelands Foods Ltd,100-104      Kilburn High Road,London,NW6 4HX,7840,Retailers - supermarkets/hypermarkets,425739,FHRS,10,0,0,4,09/07/2009,False,60330,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1111
Inland Revenue,Euston Tower,286      Euston Road,London,NW1 3BY,1,Restaurant/Cafe/Canteen,424175,FHRS,5,5,5,5,27/03/2013,False,20803,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1128
Ash Court Nursing Home,Ash Court,Ash Mews,London,NW5 2PW,5,Hospitals/Childcare/Caring Premises,424547,FHRS,0,0,5,5,01/03/2016,False,26242,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,529158,185374,-0.138522,51.552488,Unknown,08/05/2016,"(51.552488, -0.138522)",124
LMA Foods Ltd,,,,,4613,Retailers - other,425050,FHRS,,,,Exempt,18/11/2014,False,45860,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1250
Local Express,,322-326      Gray's Inn Road,,WC1X 8DD,4613,Retailers - other,606272,FHRS,10,5,20,1,16/10/2013,False,76167,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1327
Love Smoothies,,80-84      Charlotte Street,London,W1T 4QP,7844,Takeaway/sandwich shop,425119,FHRS,5,5,5,5,11/08/2008,False,48345,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529352,181873,-0.137025,51.520973,Unknown,08/05/2016,"(51.520973, -0.137025)",1356
M&M Catering Services,Street Record,Goods Way,,,1,Restaurant/Cafe/Canteen,728104,FHRS,10,10,10,3,05/09/2014,False,82065,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1368
Marchmont Market,,33-37      Marchmont Street,London,WC1N 1AA,4613,Retailers - other,426299,FHRS,10,5,5,4,22/12/2010,False,71275,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1404
Mediteranian Paella,,Brunswick Market Brunswick Cen,London,,7846,Mobile caterer,425989,FHRS,0,0,10,4,03/03/2012,False,63042,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1457
Moba,,53 Goodge Street,,W1T 1TG,1,Restaurant/Cafe/Canteen,759370,FHRS,5,5,10,4,26/03/2015,False,82910,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529418,181663,-0.136137,51.519079,Unknown,08/05/2016,"(51.519079, -0.136137)",1492
NBC Universal,,Central Saint Giles Piazza,,,1,Restaurant/Cafe/Canteen,446008,FHRS,5,5,5,5,22/08/2012,False,73538,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1534
Nick's Fine Foods,Brunswick Market,Brunswick Centre,London,,7846,Mobile caterer,425727,FHRS,10,5,10,3,22/03/2014,False,60219,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1577
Nonno Lino,,45      Goodge Street,London,W1T 1TB,1,Restaurant/Cafe/Canteen,426114,FHRS,10,10,5,3,12/09/2012,False,66862,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529437,181676,-0.135873,51.519183,Unknown,08/05/2016,"(51.519183, -0.135873)",1595
Notes,,1 Pancras Square,,N1C 4AG,1,Restaurant/Cafe/Canteen,765123,FHRS,5,5,10,4,05/05/2015,False,83765,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1610
Baxter Storey @ Edexcel,Enterprise House,190      High Holborn,London,WC1V 7BE,1,Restaurant/Cafe/Canteen,424942,FHRS,0,5,0,5,23/01/2013,False,41287,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,175
Pomme De Pain,,260 Tottenham Court Road,,W1T 7RF,1,Restaurant/Cafe/Canteen,759355,FHRS,10,15,10,2,26/11/2014,False,82102,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529816,181490,-0.130481,51.517433,Unknown,08/05/2016,"(51.517433, -0.130481)",1761
Portuguese Gourmet,Eton Avenue Street Market,Eton Avenue,London,,4613,Retailers - other,842157,FHRS,0,5,0,5,14/01/2016,False,180420,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1770
Bear Necessities,,25      Gordon Street,London,WC1H 0AH,4613,Retailers - other,425229,FHRS,0,0,10,4,26/01/2015,False,51816,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529617,182364,-0.133013,51.525333,Unknown,08/05/2016,"(51.525333, -0.133013)",185
Red Sky Cafe  Holy Trinity Church,,120      Finchley Road,London,NW3 5JB,1,Restaurant/Cafe/Canteen,424878,FHRS,5,5,10,4,12/07/2012,False,38008,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1863
Red Spice,,1b Hawley Road,,NW1 8RP,7844,Takeaway/sandwich shop,865587,FHRS,20,15,30,0,23/03/2016,False,80223,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528853,184278,-0.143334,51.542708,Unknown,08/05/2016,"(51.542708, -0.143334)",1864
Rose and Crown,,71-73 Torriano Avenue,,NW5 2SG,7843,Pub/bar/nightclub,865591,FHRS,5,5,5,5,17/03/2015,False,83569,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,529553,185136,-0.13293,51.550259,Unknown,08/05/2016,"(51.550259, -0.13293)",1905
Royal College of Physicians,,11      St Andrew's Place,London,NW1 4LE,7845,School/college/university,424385,FHRS,0,5,0,5,13/05/2013,False,22493,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,528784,182391,-0.145018,51.525758,Unknown,08/05/2016,"(51.525758, -0.145018)",1919
Royal Peri Peri,,43      South End Road,,NW3 2QA,1,Restaurant/Cafe/Canteen,491337,FHRS,5,15,10,2,12/10/2015,False,75247,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1926
