sn,s4weight,s4act1,s1truan1,s1gor,dadsec,momsec,famsec,s1pared,s1sex
240104,2.369771314996,6,7,8,3,6,3,3,1
240105,,,1,3,6,6,6,3,2
240106,,,-9,9,6,6,6,3,1
240107,,,7,9,2,3,2,2,2
240110,,,4,2,3,2,2,1,2
240114,,,-9,6,2,5,2,2,2
240116,,,7,5,4,1,1,3,1
240117,,,7,8,2,6,2,3,2
240119,,,4,5,1,6,1,3,2
240121,,,7,5,3,3,3,3,2
240124,1.34219759071424,3,7,6,3,5,3,3,2
240127,,,7,5,5,5,5,3,2
240128,0.485404514014927,2,7,2,3,2,2,2,1
240133,,,4,1,6,6,6,3,1
240134,,,7,3,2,2,2,1,2
240137,,,7,3,6,5,5,3,2
240139,,,7,3,2,2,2,1,1
240140,,,7,9,3,3,3,3,1
240142,0.604338539119868,3,7,10,2,1,1,3,2
240144,,,7,3,4,5,4,3,1
240147,,,4,6,6,3,3,2,2
240149,,,4,3,3,2,2,2,1
240150,,,7,3,5,3,3,3,2
240152,,,4,3,1,2,1,3,1
240159,,,7,6,1,2,1,3,2
240160,,,7,9,1,6,1,1,1
240161,0.461920094312068,2,7,8,3,2,2,2,2
240163,,,4,10,5,5,5,2,2
240166,,,7,8,2,5,2,3,1
240169,,,7,3,2,5,2,3,2
240171,,,4,9,2,5,2,1,2
240172,0.917359364009328,2,-9,10,6,6,6,3,2
240174,,,4,6,3,2,2,3,2
240178,,,7,6,1,3,1,2,2
240180,,,4,11,4,5,4,2,2
240181,,,7,5,5,5,5,2,1
240182,,,4,8,6,6,6,3,2
240183,,,4,3,5,5,5,3,1
240184,,,7,3,5,3,3,3,1
240185,,,7,5,2,1,1,1,1
240186,,,7,8,5,5,5,3,2
240187,,,4,8,6,5,5,3,1
240188,5.06597691451436,3,7,5,1,3,1,3,1
240192,0.921429910077406,2,7,8,1,2,1,1,1
240194,0.269366117609832,7,7,8,5,4,4,3,2
240195,,,4,2,6,3,3,3,2
240196,0.770576980626052,1,7,5,4,5,4,3,1
240202,0.454068340104529,2,7,5,6,5,5,3,1
240203,1.15081969091275,2,4,7,3,3,3,2,1
240204,,,7,2,4,6,4,3,2
240205,,,7,3,3,3,3,3,2
240206,,,7,9,1,2,1,1,1
240207,4.92693099310454,6,7,2,5,5,5,3,1
240208,,,7,3,1,2,1,1,1
240209,,,7,6,2,6,2,1,1
240213,,,7,8,6,6,6,1,1
240214,,,7,5,2,3,2,1,2
240215,,,4,10,6,2,2,2,2
240217,,,4,3,4,5,4,2,2
240223,,,4,2,3,5,3,1,2
240225,,,7,5,6,6,6,1,2
240227,0.722971718729541,3,7,9,4,5,4,3,1
240228,0.788115227087495,2,4,11,2,2,2,1,2
240231,0.649953285120213,3,4,9,5,5,5,2,2
240234,,,4,3,4,5,4,3,1
240237,,,4,11,6,6,6,1,2
240240,,,7,4,2,4,2,3,1
240241,,,7,2,1,6,1,3,2
240242,,,7,3,2,5,2,1,1
240246,0.546328873583936,1,7,3,3,3,3,1,2
240247,,,4,9,5,3,3,3,2
240248,,,4,1,4,5,4,3,2
240249,,,7,4,4,6,4,3,2
240250,,,7,6,3,4,3,3,2
240253,3.02505312278467,3,7,2,2,5,2,3,1
240254,1.87245007381898,3,4,2,2,5,2,3,2
240255,2.94858425784341,6,4,7,6,6,6,3,1
240256,,,7,8,1,3,1,1,2
240257,2.03444857064627,2,7,8,1,6,1,1,1
240258,,,4,9,3,5,3,1,2
240260,,,7,10,2,2,2,3,1
240261,,,7,11,3,5,3,3,1
240264,,,7,2,1,2,1,1,2
240267,0.440573577759817,2,7,3,6,6,6,3,1
240268,,,7,8,2,1,1,3,2
240271,,,7,5,6,6,6,3,1
240272,,,7,6,6,6,6,3,1
240273,,,4,2,5,6,5,3,2
240275,,,7,6,6,3,3,2,1
240276,,,7,2,3,5,3,3,2
240277,,,4,7,6,3,3,3,1
240279,0.565990243166873,2,7,5,6,5,5,3,2
240280,,,4,1,2,1,1,1,2
240281,,,7,10,6,5,5,2,2
240283,0.666295796505358,2,7,3,3,1,1,2,1
240284,,,7,4,1,2,1,1,2
240288,,,7,3,2,2,2,1,2
240289,,,4,11,3,6,3,2,1
240291,,,4,10,2,3,2,3,2
240292,,,7,1,2,3,2,1,1
240293,1.33007796889106,3,7,2,5,3,3,2,2
240295,1.15873895303966,3,7,9,4,4,4,3,2
240297,,,7,11,6,6,6,1,1
240299,0.459383352986989,2,7,10,2,4,2,2,2
240300,,,4,2,2,3,2,2,2
240301,0.589776605831665,3,7,2,6,6,6,3,2
240302,0.282858250671137,2,7,10,2,3,2,1,2
240303,,,7,2,3,5,3,3,1
240304,,,7,3,1,3,1,2,1
240305,,,4,2,4,5,4,2,2
240307,,,7,5,3,6,3,3,2
240310,,,7,9,2,3,2,2,2
240313,,,7,3,6,6,6,3,2
240316,,,4,9,3,3,3,1,1
240317,0.373162003776054,2,7,8,3,6,3,2,2
240318,,,7,10,4,6,4,3,1
240322,,,4,3,5,5,5,3,2
240325,,,7,9,6,5,5,3,2
240326,0.727331302650915,3,7,8,5,5,5,3,2
240328,,,7,9,3,3,3,3,2
240329,,,7,6,6,6,6,3,1
240330,,,7,1,4,4,4,2,2
240332,,,7,8,3,2,2,1,1
240333,0.420035370349106,2,7,7,6,2,2,1,2
240335,,,7,11,5,2,2,3,2
240336,,,4,9,4,2,2,2,1
240337,,,7,3,6,3,3,3,1
240338,,,7,10,4,5,4,3,2
240341,,,7,10,6,6,6,3,2
240344,,,7,3,6,5,5,2,1
240347,0.474001246453553,2,7,2,1,2,1,1,2
240348,,,7,5,5,6,5,1,1
240350,,,4,7,3,5,3,1,1
240352,,,7,10,6,2,2,1,2
240354,,,7,8,1,5,1,1,1
240355,0.493371214266579,2,7,2,4,3,3,2,2
240356,,,7,11,5,6,5,3,1
240357,,,7,1,5,6,5,3,2
240359,,,7,3,1,6,1,3,2
240363,,,7,6,3,2,2,2,2
240369,,,7,8,6,6,6,3,1
240370,,,7,5,6,5,5,3,2
240372,,,7,5,1,5,1,2,1
240374,0.355232089694532,2,4,9,2,3,2,2,2
240375,0.357920720197048,2,4,5,1,2,1,3,2
240378,0.644628629901784,7,7,9,3,2,2,3,2
240379,1.06356442473543,3,7,11,6,5,5,3,2
240380,,,7,9,3,3,3,1,2
240381,,,7,9,4,3,3,2,1
240384,,,4,3,3,3,3,3,2
240385,,,7,8,6,6,6,3,2
240388,0.612060656274809,3,4,1,5,4,4,3,2
240390,,,7,5,3,6,3,3,2
240391,1.64917641856318,6,4,5,6,5,5,3,2
240394,0.660080255816758,2,4,3,6,6,6,3,2
240395,0.334944060929699,3,4,9,6,1,1,1,2
240397,,,7,6,1,2,1,1,1
240398,2.14914566585875,3,7,1,3,3,3,2,2
240399,,,7,1,6,6,6,3,2
240401,0.536446008452532,1,7,5,4,5,4,3,1
240406,2.10330859776121,6,4,8,2,6,2,3,1
240407,,,7,5,5,5,5,3,2
240410,,,4,6,4,5,4,3,2
240411,1.29628293300951,3,1,10,4,3,3,2,1
240412,0.957774415194911,2,4,7,6,6,6,3,2
240415,,,4,10,2,4,2,3,1
240417,,,7,10,2,6,2,3,1
240421,,,4,9,3,3,3,1,1
240426,1.09142377459912,2,4,11,1,2,1,1,1
240427,,,7,11,4,3,3,1,1
240429,0.764839176538139,2,7,11,4,4,4,2,1
240430,0.416277767432324,2,7,8,6,5,5,3,1
240431,,,4,3,2,2,2,1,1
240433,,,7,2,5,5,5,3,2
240439,,,4,9,2,4,2,2,2
240441,2.71026401726206,2,4,7,3,5,3,3,2
240443,,,4,4,1,2,1,1,1
240444,2.68322050341254,4,7,10,5,5,5,3,1
240445,,,4,9,3,6,3,3,2
240447,,,4,8,6,5,5,3,1
240449,,,4,2,3,6,3,3,2
240450,0.822059427891439,2,7,6,1,2,1,1,2
240452,0.505098385841723,3,4,9,2,4,2,2,2
240454,0.983078793409004,3,4,11,1,1,1,2,2
240455,0.416913003302083,2,7,4,1,2,1,1,1
240456,3.41493199030543,4,7,9,2,3,2,1,2
240457,0.538613907845808,2,7,6,2,2,2,3,1
240460,,,7,4,1,2,1,1,2
240463,0.574782427226736,3,4,9,3,3,3,1,2
240464,,,7,5,2,1,1,2,1
240465,0.961447513996024,3,4,6,3,2,2,3,2
240467,,,7,6,2,3,2,3,1
240469,,,7,6,1,5,1,1,1
240470,,,7,3,6,2,2,2,2
240472,0.538261934595135,2,4,4,2,2,2,2,2
240473,,,7,11,6,2,2,1,2
240476,0.419228399235592,2,7,2,1,3,1,1,1
240477,,,4,4,2,5,2,2,2
240478,,,4,1,3,5,3,3,2
240480,,,4,2,6,6,6,3,1
240484,,,4,10,3,1,1,3,2
240486,,,7,11,6,6,6,3,2
240487,,,7,10,3,3,3,3,1
240488,,,7,9,1,5,1,1,2
240490,0.373162003776054,2,7,8,6,6,6,3,2
240491,,,7,9,5,6,5,3,1
240493,,,4,4,6,6,6,3,1
240494,,,7,2,4,4,4,3,1
240495,,,7,10,4,2,2,2,1
240496,,,4,5,4,4,4,3,1
240498,0.992791236070562,3,7,9,6,2,2,1,1
240500,,,7,4,6,6,6,3,1
240503,,,1,4,4,6,4,3,1
240506,,,7,6,6,2,2,3,1
240507,0.412238470167142,2,7,3,6,5,5,3,1
240508,,,7,10,4,5,4,3,1
240514,,,7,6,4,2,2,3,1
240515,0.360682817618243,2,7,3,6,6,6,3,2
240517,0.689111832424127,2,7,2,4,2,2,1,2
240518,,,7,2,2,1,1,1,2
240520,,,7,1,5,4,4,1,2
240521,0.794804505055809,3,7,10,3,5,3,3,1
240522,,,4,5,2,2,2,2,2
240523,,,7,9,2,2,2,1,1
240524,,,7,5,6,6,6,3,1
240526,,,7,1,4,5,4,3,2
240528,,,7,5,1,6,1,2,2
240529,,,7,6,4,4,4,2,2
240530,0.315058865331173,2,7,2,6,2,2,3,1
240532,,,4,1,6,6,6,3,1
240534,,,7,9,3,5,3,3,2
240535,0.952123072478267,2,7,5,1,3,1,3,2
240536,,,7,5,2,5,2,3,1
240537,,,4,6,3,2,2,3,2
240539,,,7,10,3,6,3,3,1
240542,,,7,10,6,5,5,3,2
240543,,,7,8,3,5,3,2,1
240548,,,7,10,1,5,1,1,1
240551,,,4,9,6,2,2,3,1
240552,,,4,5,4,4,4,3,1
240553,,,7,9,3,5,3,3,2
240555,,,7,2,6,6,6,3,2
240557,,,4,3,4,6,4,3,1
240559,,,1,5,3,4,3,2,2
240561,,,7,3,3,6,3,3,2
240562,,,7,10,6,5,5,3,2
240563,,,4,4,3,2,2,3,1
240564,,,7,2,5,2,2,2,1
240567,,,7,8,1,6,1,2,2
240569,,,7,10,1,1,1,1,1
240572,,,7,3,2,2,2,1,1
240573,,,7,3,6,3,3,2,2
240577,3.82053871296944,3,7,2,6,6,6,3,2
240581,,,7,9,2,2,2,1,1
240583,1.26692628338729,1,4,10,1,4,1,2,1
240586,0.46134132496096,2,7,2,3,3,3,1,2
240588,0.921359842356002,2,7,6,1,2,1,2,2
240593,1.31029293545892,3,4,3,3,3,3,3,2
240597,,,-9,5,6,6,6,3,1
240599,,,7,10,1,3,1,1,1
240602,,,7,6,3,3,3,1,2
240603,,,4,9,1,2,1,3,2
240604,,,7,1,4,6,4,3,1
240605,,,7,2,2,2,2,1,1
240606,,,7,9,3,6,3,3,2
240607,,,7,5,4,3,3,3,2
240610,,,7,3,5,5,5,3,1
240612,2.41887568008245,3,4,1,1,6,1,3,2
240616,,,7,3,2,2,2,1,1
240618,,,4,10,5,5,5,3,2
240619,0.889597321874529,2,7,2,6,2,2,3,1
240621,,,7,5,3,5,3,2,2
240623,0.478772591741099,2,4,1,3,3,3,3,2
240624,,,4,3,2,6,2,1,1
240626,0.75462437226792,6,7,5,3,3,3,2,1
240627,0.970352408575544,6,7,5,3,3,3,3,2
240628,,,7,2,2,3,2,2,1
240630,,,7,8,5,6,5,3,1
240631,,,7,1,3,5,3,3,1
240633,,,4,9,2,3,2,2,2
240634,1.43477725364445,8,7,11,2,6,2,3,1
240635,,,7,4,6,2,2,2,1
240637,1.00566135911287,2,7,6,6,2,2,1,1
240639,,,7,3,6,2,2,1,1
240640,,,7,4,6,6,6,3,2
240641,,,7,3,6,5,5,3,1
240643,0.396109811415024,2,7,9,1,2,1,1,2
240645,1.73054073526375,1,7,9,3,2,2,2,1
240646,0.745638610419482,2,7,9,1,2,1,1,1
240647,,,7,2,4,3,3,3,2
240648,,,1,9,6,6,6,3,2
240649,,,4,3,5,3,3,3,2
240651,,,1,3,5,6,5,3,1
240656,,,7,9,2,2,2,2,1
240660,,,7,7,4,5,4,3,2
240661,,,-9,3,6,6,6,3,1
240664,,,7,9,3,5,3,2,2
240665,,,4,2,6,6,6,2,1
240667,1.77529605600023,2,7,5,2,2,2,1,1
240668,,,7,9,3,5,3,3,1
240670,1.18086279159838,1,7,5,3,5,3,3,2
240671,,,4,8,5,4,4,2,2
240672,0.372212811774457,3,7,3,1,3,1,2,2
240673,,,7,9,3,3,3,1,1
240674,0.615812733935528,2,7,8,3,3,3,3,1
240675,,,4,3,3,3,3,2,1
240677,,,4,9,6,2,2,3,2
240678,1.55071172861392,2,4,7,3,5,3,2,2
240680,,,4,10,6,6,6,3,2
240681,0.855282244252933,3,4,11,1,5,1,2,1
240682,0.4941372226496,3,7,3,5,6,5,3,1
240683,,,4,2,6,6,6,3,1
240684,,,1,3,1,2,1,1,2
240689,,,-9,2,6,6,6,3,2
240691,,,7,9,2,6,2,1,1
240693,,,4,2,3,6,3,3,2
240694,,,4,3,6,2,2,3,2
240696,0.342277626093601,3,4,3,4,5,4,3,2
240697,,,4,10,5,6,5,3,2
240698,1.15325101486454,3,7,2,1,3,1,2,2
240699,,,4,2,1,5,1,3,2
240700,,,4,7,1,1,1,1,2
240701,,,7,9,4,4,4,3,1
240702,0.438358056358973,2,7,9,3,3,3,2,2
240704,1.23654905887465,3,7,3,3,3,3,3,2
240705,1.13333450862081,4,1,4,5,5,5,2,2
240706,,,4,2,6,5,5,3,2
240707,0.596187293805365,3,7,5,3,2,2,3,2
240709,,,7,9,4,3,3,2,2
240711,0.953860487563213,2,7,5,1,6,1,1,1
240713,,,7,9,3,6,3,3,1
240716,0.496094706743664,2,4,9,1,5,1,3,2
240720,0.334238136748044,3,7,2,4,4,4,3,2
240721,,,7,10,6,6,6,3,2
240722,0.39200479534434,2,7,3,5,2,2,1,2
240725,,,7,5,1,3,1,2,1
240729,,,4,6,2,5,2,3,2
240730,,,4,8,2,3,2,2,1
240732,,,7,9,6,6,6,1,1
240733,,,7,4,6,3,3,1,1
240734,,,7,10,3,2,2,1,1
240735,0.601304995191982,2,7,2,2,2,2,3,1
240736,,,4,6,3,3,3,3,2
240738,,,7,9,4,3,3,2,2
240739,,,7,11,3,2,2,3,1
240740,0.419390339242526,2,4,6,3,5,3,2,2
240743,,,7,2,1,2,1,1,2
240745,,,7,5,3,6,3,3,2
240747,,,4,5,3,3,3,2,1
240748,,,7,5,1,2,1,3,1
240749,,,4,9,6,3,3,2,1
240752,,,4,8,6,6,6,3,2
240754,0.705855543149721,4,7,11,2,6,2,2,2
240758,,,7,9,6,2,2,3,2
240761,0.35156981161314,2,7,2,2,3,2,1,2
240762,,,7,10,2,2,2,1,2
240766,,,4,9,6,6,6,1,1
240767,,,4,5,3,5,3,3,2
240768,,,4,5,3,6,3,3,2
240769,0.419014432896206,2,4,10,6,3,3,3,2
240770,,,7,3,1,3,1,2,1
240771,1.55117585090221,8,7,10,6,6,6,3,2
240772,0.875875109302682,3,7,5,5,6,5,3,1
240774,,,7,5,5,5,5,3,2
240777,,,4,4,1,5,1,3,2
240779,,,4,3,1,3,1,2,2
240780,,,4,5,4,5,4,3,2
240781,,,7,1,2,4,2,1,1
240790,0.540909878466062,2,7,5,1,2,1,2,1
240791,,,7,1,6,2,2,2,1
240792,,,7,10,2,2,2,1,2
240793,,,7,11,6,5,5,3,1
240794,,,7,3,2,3,2,2,2
240795,,,7,9,1,3,1,1,1
240796,,,7,1,5,2,2,1,2
240797,2.09736726689035,2,7,8,5,2,2,3,2
240798,1.82589104416743,5,4,10,4,4,4,3,2
240803,,,7,11,6,6,6,3,1
240804,,,7,6,4,6,4,3,1
240806,,,7,2,4,4,4,3,2
240813,,,7,3,6,6,6,3,2
240814,1.40490119412621,3,7,6,3,5,3,3,1
240819,,,7,2,1,2,1,1,2
240821,,,4,5,6,3,3,2,2
240822,,,4,9,1,2,1,1,1
240823,,,4,5,2,6,2,3,2
240824,,,7,5,5,5,5,3,2
240828,,,7,5,3,3,3,3,1
240833,,,4,10,4,5,4,3,2
240834,0.409002859775305,2,7,3,2,3,2,2,1
240836,4.95381760395852,4,1,9,6,2,2,3,1
240837,0.791119380816143,3,7,10,1,3,1,3,2
240838,,,7,9,3,5,3,3,1
240839,0.605154245004134,3,7,5,1,5,1,3,2
240840,0.807735510782319,2,7,10,6,6,6,1,2
240844,,,7,8,3,2,2,2,1
240845,,,7,7,6,6,6,3,2
240847,,,4,2,6,2,2,2,2
240849,,,7,6,4,3,3,3,1
240851,,,4,9,6,6,6,3,2
240854,,,4,3,3,5,3,3,2
240857,0.763943993604169,2,7,11,5,3,3,3,1
240858,,,7,9,4,5,4,3,2
240860,,,4,11,2,2,2,1,1
240861,0.421800005788856,2,7,1,5,3,3,3,2
240863,,,7,10,2,2,2,2,1
240864,1.117808409247,2,7,8,6,6,6,3,1
240867,,,4,3,5,4,4,1,1
240868,1.05288566839799,3,7,3,5,5,5,3,2
240869,,,7,4,4,4,4,3,2
240872,,,4,6,2,2,2,1,2
240874,,,4,5,4,5,4,3,2
240876,,,7,4,5,4,4,3,2
240877,,,7,8,2,6,2,1,2
240878,0.544257029455888,2,7,4,2,2,2,1,2
240880,,,7,8,3,5,3,3,2
240883,,,1,9,6,6,6,3,1
240884,,,7,9,6,5,5,3,2
240885,,,7,2,1,3,1,3,1
240886,,,4,8,2,2,2,1,2
240889,,,7,7,3,4,3,2,2
240893,0.764886902722898,2,7,9,6,6,6,3,2
240897,3.10339749591663,3,7,6,6,6,6,3,1
240898,0.851250057851592,2,4,2,6,2,2,3,2
240899,0.976112099138913,3,7,9,2,5,2,3,2
240901,0.8584525311464,2,7,9,1,6,1,3,1
240903,,,4,4,6,3,3,2,2
240904,,,7,2,1,3,1,2,2
240905,,,4,8,3,2,2,1,1
240906,1.04047645271059,3,4,2,3,5,3,3,2
240907,,,7,5,5,3,3,3,1
240909,,,7,9,3,5,3,3,1
240915,,,7,6,6,6,6,2,1
240916,1.0372854961891,2,4,10,4,5,4,1,1
240921,0.393303439392705,2,7,3,6,3,3,3,1
240923,1.07754033091124,4,4,4,6,6,6,3,2
240925,,,7,5,6,6,6,3,2
240926,,,4,2,2,5,2,1,1
240927,,,4,9,4,5,4,3,2
240929,0.621900589082518,2,7,11,1,5,1,3,2
240930,,,7,9,2,2,2,3,2
240933,,,7,2,3,5,3,3,1
240935,,,7,10,1,3,1,3,1
240947,,,7,5,5,5,5,2,2
240948,1.15255234234055,2,4,4,3,5,3,3,1
240949,,,7,2,5,6,5,3,2
240950,,,7,6,3,3,3,3,2
240951,,,4,4,1,1,1,1,2
240953,,,7,7,5,2,2,3,2
240954,,,7,2,6,5,5,3,1
240956,,,7,8,1,3,1,3,1
240958,0.76232729327782,2,7,5,2,2,2,2,2
240960,,,4,2,6,5,5,3,2
240961,,,4,3,1,3,1,1,2
240962,,,7,9,4,2,2,1,1
240965,,,4,4,4,5,4,3,2
240967,,,7,9,3,3,3,3,2
240968,0.571557346881476,2,7,2,1,6,1,3,1
240969,,,4,2,3,5,3,3,2
240970,1.29093035704037,1,4,4,2,5,2,3,1
240971,,,4,9,3,6,3,2,2
240972,,,4,6,6,6,6,2,2
240973,,,7,2,3,3,3,3,1
240975,,,7,3,5,5,5,3,1
240976,,,4,9,3,6,3,2,2
240978,,,1,5,5,5,5,3,2
240979,,,7,2,5,5,5,3,2
240982,2.82319849736908,4,4,7,4,5,4,3,1
240984,1.52330632646098,3,7,11,3,5,3,2,2
240985,,,7,4,6,4,4,3,2
240987,0.854249061060959,2,7,6,2,2,2,2,1
240988,,,7,10,3,5,3,2,1
240989,0.56321845584746,3,7,9,2,2,2,1,2
240990,,,7,10,3,6,3,3,2
240992,,,7,1,6,6,6,3,1
240993,0.86122179491415,3,7,4,4,5,4,3,1
240996,,,7,10,5,6,5,2,2
240997,,,7,8,5,2,2,1,2
240999,,,7,10,5,6,5,3,1
241000,,,7,9,2,1,1,3,1
241003,1.04504119503265,3,4,5,5,5,5,3,2
241004,,,4,6,3,2,2,3,1
241005,,,7,2,5,3,3,3,1
241010,,,7,3,4,3,3,2,1
241011,,,7,2,6,5,5,3,1
241012,0.640120152989215,2,7,9,1,6,1,3,1
241014,0.425553687308344,2,7,4,1,5,1,3,1
241016,0.801711334401233,2,7,5,5,5,5,3,2
241017,,,7,3,6,5,5,3,2
241020,0.535666103722481,7,4,10,3,3,3,3,2
241021,0.496298970624913,2,7,7,1,2,1,1,1
241023,,,7,5,3,5,3,3,2
241024,0.332913726669648,2,7,5,1,1,1,1,1
241027,0.606693510387865,2,7,6,2,2,2,2,2
241029,,,7,5,3,3,3,3,2
241033,0.741388413507166,3,7,6,2,3,2,2,1
241035,,,7,3,3,2,2,1,2
241039,,,7,2,5,5,5,1,1
241040,,,7,5,3,3,3,3,1
241043,,,4,3,4,4,4,3,2
241044,,,4,3,4,5,4,3,1
241045,1.08572926880984,2,7,5,3,2,2,2,1
241046,1.62673873049781,3,4,3,1,6,1,2,1
241047,,,-9,5,6,6,6,3,2
241050,0.631204045319959,2,4,4,2,3,2,2,1
241051,,,4,1,6,6,6,3,2
241052,0.969089957253051,3,7,2,5,6,5,3,1
241053,,,4,1,3,4,3,3,2
241054,0.665020964443349,3,7,10,4,5,4,3,2
241055,,,4,4,6,6,6,2,1
241056,0.410238336406567,2,7,9,1,5,1,1,2
241059,,,7,1,6,2,2,2,1
241060,,,7,11,5,5,5,3,1
241064,,,7,8,6,6,6,2,2
241066,,,7,5,4,5,4,3,2
241067,0.805829812230722,2,7,8,3,3,3,1,1
241068,0.726399842573078,2,4,9,1,2,1,1,1
241072,2.10943845148393,2,7,7,2,5,2,2,2
241074,,,7,9,1,1,1,1,2
241076,,,7,3,2,2,2,3,1
241077,,,7,9,1,2,1,3,1
241078,,,7,3,6,4,4,2,2
241079,,,1,2,5,5,5,3,2
241080,0.505528756908403,2,7,6,1,2,1,1,2
241082,,,7,4,1,5,1,2,1
241083,,,4,9,2,3,2,2,2
241085,,,7,7,2,2,2,1,1
241086,,,4,1,5,5,5,3,2
241089,,,4,9,3,3,3,3,1
241090,,,7,3,6,5,5,3,2
241092,,,7,8,5,2,2,2,1
241093,0.871412770186991,2,4,11,6,2,2,1,2
241094,0.516457791043171,2,7,4,3,2,2,1,2
241095,,,-9,5,2,2,2,1,1
241096,,,7,2,4,5,4,3,2
241097,,,7,3,3,2,2,2,1
241098,0.502930086442661,2,7,3,5,4,4,3,2
241099,,,4,9,5,5,5,3,2
241100,0.687558301626422,2,7,9,6,6,6,2,2
241103,,,1,5,6,6,6,3,2
241109,,,7,8,3,6,3,1,2
241110,,,1,7,6,5,5,3,2
241115,,,4,2,6,4,4,3,2
241117,,,7,3,2,5,2,1,2
241118,,,7,9,3,3,3,2,2
241119,1.02856810847394,1,7,11,5,3,3,2,1
241120,,,4,8,1,5,1,1,1
241121,,,4,3,1,5,1,2,2
241123,,,7,9,5,5,5,3,2
241124,0.542766136481179,2,7,1,4,3,3,2,2
241126,1.52395101645495,1,4,5,5,5,5,2,2
241127,0.868945589447132,5,4,5,5,2,2,3,2
241128,,,4,4,3,5,3,3,2
241129,,,7,11,3,4,3,3,2
241131,0.697391575516421,3,7,6,1,6,1,3,2
241132,,,4,6,5,5,5,3,2
241133,0.965953526371389,2,4,10,5,5,5,2,1
241137,,,7,6,5,5,5,3,1
241140,,,7,2,4,3,3,3,1
241143,1.23302437765409,6,4,11,1,2,1,1,1
241145,,,7,11,6,6,6,3,2
241146,,,7,2,5,3,3,2,2
241147,0.452453475453084,2,7,3,1,5,1,2,2
241148,0.473514372867472,2,7,4,1,2,1,3,2
241150,0.683537054958241,2,7,3,2,2,2,2,1
241152,,,7,6,6,2,2,1,1
241153,,,1,3,6,5,5,3,1
241155,,,7,1,4,5,4,3,2
241158,,,4,2,4,2,2,3,2
241161,0.662385856154532,2,7,11,3,3,3,3,2
241163,0.832685405065937,3,7,3,3,5,3,3,1
241167,2.50226661208404,3,7,10,2,3,2,3,1
241169,,,7,6,1,2,1,1,2
241171,,,4,4,5,4,4,3,2
241172,0.643560684551166,3,1,1,5,5,5,3,2
241174,,,4,1,6,5,5,3,2
241176,,,4,5,6,6,6,3,2
241177,,,7,2,4,6,4,3,2
241179,,,7,5,3,6,3,3,2
241180,0.387756177515313,2,7,5,5,6,5,3,2
241182,0.974658695904695,1,7,8,3,6,3,3,1
241183,3.35010044748515,3,7,2,5,5,5,3,1
241185,,,7,5,3,6,3,1,2
241186,,,7,1,3,5,3,3,2
241187,,,7,9,2,5,2,3,2
241191,,,4,6,2,6,2,1,2
