customer_id,city,sex,date_birth,date_join,age_join,date_quit,duration,q1,q2,q3,q4,q5
DG006160,London,M,1968-03-24,2012-04-15,44.06,NA,NA,NA,NA,NA,NA,NA
DG006439,Newcastle upon Tyne,F,1966-08-22,2010-03-02,43.53,NA,NA,NA,NA,NA,NA,NA
DG006583,Leeds,M,1988-11-08,2012-05-07,23.49,NA,NA,NA,NA,NA,NA,NA
DG007238,Glasgow,M,1981-08-05,2013-01-27,31.48,NA,NA,NA,NA,NA,NA,NA
DG007287,Manchester,M,1987-06-02,2011-06-12,24.03,2015-02-24,44.45,6,8,5,-1,3
DG007619,Leeds,M,1975-10-26,2010-11-07,35.03,2011-03-18,4.3,7,-1,-1,8,-1
DG007641,Glasgow,F,1978-04-14,2012-07-06,34.23,2015-04-22,33.51,8,-1,7,1,2
DG007793,Manchester,M,1989-09-22,2011-12-25,22.26,2015-04-26,40.02,6,-1,-1,5,0
DG007834,Sheffield,F,1983-06-05,2013-01-19,29.63,NA,NA,NA,NA,NA,NA,NA
DG007912,Birmingham,F,1980-09-22,2011-01-06,30.29,2015-06-02,52.83,6,-1,4,1,1
DG008087,London,F,1988-12-24,2013-03-03,24.19,2014-12-19,21.55,7,9,7,10,2
DG008117,London,M,1988-04-05,2012-05-12,24.1,NA,NA,NA,NA,NA,NA,NA
DG008153,Newcastle upon Tyne,F,1963-12-30,2011-05-19,47.38,2013-01-13,19.88,6,-1,9,9,2
DG008373,Nottingham,F,1978-10-02,2013-11-01,35.08,NA,NA,NA,NA,NA,NA,NA
DG008468,Birmingham,F,1963-10-06,2012-03-30,48.48,NA,NA,NA,NA,NA,NA,NA
DG009066,Newcastle upon Tyne,F,1973-10-06,2011-09-28,37.98,2012-05-26,7.92,9,-1,10,10,3
DG009628,Leeds,F,1970-09-09,2010-01-18,39.36,NA,NA,NA,NA,NA,NA,NA
DG009824,London,M,1971-01-18,2012-11-03,41.79,NA,NA,NA,NA,NA,NA,NA
DG009847,Liverpool,F,1982-01-14,2012-03-18,30.17,NA,NA,NA,NA,NA,NA,NA
DG009965,Newcastle upon Tyne,M,1981-11-22,2012-07-21,30.66,NA,NA,NA,NA,NA,NA,NA
DG010067,Glasgow,F,1962-05-20,2012-03-06,49.8,NA,NA,NA,NA,NA,NA,NA
DG010109,London,M,1988-05-02,2014-07-03,26.17,NA,NA,NA,NA,NA,NA,NA
DG010438,Birmingham,F,1967-03-20,2011-08-23,44.43,2014-06-20,33.91,-1,10,5,3,2
DG010766,Birmingham,M,1968-02-28,2013-07-07,45.36,NA,NA,NA,NA,NA,NA,NA
DG010862,London,M,1962-05-10,2011-07-02,49.14,2011-07-05,0.1,8,7,7,10,-1
DG010913,Birmingham,M,1981-11-19,2012-05-28,30.52,NA,NA,NA,NA,NA,NA,NA
DG011034,Manchester,M,1983-01-20,2012-01-25,29.01,2014-12-18,34.76,-1,7,5,6,0
DG011047,London,F,1975-02-07,2010-07-18,35.44,NA,NA,NA,NA,NA,NA,NA
DG011058,London,M,1982-12-06,2013-05-23,30.46,NA,NA,NA,NA,NA,NA,NA
DG011443,Birmingham,M,1976-04-16,2011-10-07,35.47,2015-01-25,39.62,7,9,7,-1,0
DG011541,Nottingham,M,1968-09-23,2013-07-27,44.84,NA,NA,NA,NA,NA,NA,NA
DG011698,Liverpool,F,1942-07-01,2010-06-21,67.97,2010-10-23,4.07,7,8,0,5,4
DG011739,Nottingham,M,1940-04-15,2010-02-18,69.85,NA,NA,NA,NA,NA,NA,NA
DG011774,London,F,1980-11-19,2011-09-30,30.86,2012-03-28,5.91,7,10,7,10,-1
DG011779,Sheffield,F,1963-06-10,2010-03-22,46.78,2013-03-02,35.35,NA,NA,NA,NA,NA
DG011821,Birmingham,F,1970-09-06,2012-02-25,41.47,2012-04-08,1.41,8,10,5,1,3
DG011929,Birmingham,F,1975-02-28,2010-12-10,35.78,2011-02-08,1.97,6,-1,4,-1,3
DG012387,London,F,1983-01-23,2013-02-20,30.08,2015-04-11,25.63,7,10,6,10,2
DG012434,Leeds,M,1992-07-10,2011-05-17,18.85,2011-05-29,0.39,6,6,6,10,3
DG012599,Liverpool,M,1977-06-22,2010-08-08,33.13,NA,NA,NA,NA,NA,NA,NA
DG012744,Birmingham,F,1968-11-24,2010-07-20,41.65,2015-06-11,58.71,NA,NA,NA,NA,NA
DG012872,Sheffield,M,1991-06-18,2011-02-18,19.67,2011-08-17,5.91,5,-1,8,0,2
DG013173,London,F,1972-06-21,2010-09-17,38.24,NA,NA,NA,NA,NA,NA,NA
DG013232,Glasgow,F,1979-11-10,2010-12-02,31.06,NA,NA,NA,NA,NA,NA,NA
DG013391,London,M,1975-06-03,2011-12-11,36.52,2013-06-06,17.84,-1,8,6,10,0
DG013448,Manchester,F,1990-11-26,2010-09-23,19.82,2010-11-11,1.61,NA,NA,NA,NA,NA
DG013783,London,M,1985-04-02,2013-04-10,28.02,NA,NA,NA,NA,NA,NA,NA
DG013990,Manchester,M,1972-02-08,2010-10-17,38.69,2015-06-15,55.92,-1,-1,5,5,-1
DG014240,Glasgow,F,1973-07-25,2013-11-12,40.3,2014-08-05,8.74,7,6,6,-1,1
DG014494,Newcastle upon Tyne,M,1977-03-19,2010-08-23,33.43,2011-12-19,15.87,NA,NA,NA,NA,NA
DG014796,Liverpool,M,1991-12-31,2011-09-01,19.67,2015-03-25,42.74,5,-1,2,6,0
DG014861,Leeds,F,1955-08-26,2012-03-05,56.53,NA,NA,NA,NA,NA,NA,NA
DG014900,Leeds,M,1986-10-22,2011-06-23,24.67,2011-08-01,1.28,NA,NA,NA,NA,NA
DG015015,Glasgow,F,1963-07-10,2010-08-05,47.07,2011-01-22,5.59,9,6,5,0,1
DG015291,Glasgow,M,1979-01-30,2010-05-10,31.27,2013-01-21,32.43,9,7,6,0,-1
DG015438,Nottingham,F,1968-02-12,2012-09-15,44.59,2015-06-19,33.08,-1,7,5,-1,2
DG015483,Southampton,M,1984-07-07,2010-05-03,25.82,2012-07-09,26.22,4,6,5,10,1
DG015571,London,F,1972-10-08,2010-05-28,37.63,NA,NA,NA,NA,NA,NA,NA
DG015695,London,M,1965-02-13,2010-04-20,45.18,2015-03-13,58.74,9,10,9,-1,1
DG015828,London,M,1976-09-20,2010-09-16,33.99,NA,NA,NA,NA,NA,NA,NA
DG015980,Glasgow,F,1973-01-02,2011-01-20,38.05,NA,NA,NA,NA,NA,NA,NA
DG015990,Nottingham,F,1943-06-24,2011-03-14,67.72,2013-04-16,25.1,8,6,-1,8,1
DG016139,Leeds,F,1986-12-19,2014-03-30,27.28,NA,NA,NA,NA,NA,NA,NA
DG016382,Glasgow,M,1973-11-18,2010-05-08,36.47,2014-12-26,55.62,9,-1,-1,0,0
DG016799,Sheffield,M,1988-07-18,2012-06-03,23.88,NA,NA,NA,NA,NA,NA,NA
DG016830,Liverpool,M,1982-02-25,2010-11-06,28.7,NA,NA,NA,NA,NA,NA,NA
DG016974,Glasgow,F,1979-07-10,2015-03-24,35.7,NA,NA,NA,NA,NA,NA,NA
DG016976,Birmingham,F,1980-07-17,2010-04-03,29.71,NA,NA,NA,NA,NA,NA,NA
DG017015,London,M,1985-05-26,2010-08-09,25.2,NA,NA,NA,NA,NA,NA,NA
DG017218,London,M,1977-09-12,2010-06-29,32.79,NA,NA,NA,NA,NA,NA,NA
DG017410,London,F,1987-03-20,2013-10-14,26.57,NA,NA,NA,NA,NA,NA,NA
DG017411,London,F,1974-08-12,2010-06-04,35.81,NA,NA,NA,NA,NA,NA,NA
DG017555,Leeds,M,1981-08-08,2011-09-25,30.13,NA,NA,NA,NA,NA,NA,NA
DG017620,Birmingham,F,1953-08-09,2013-03-21,59.61,NA,NA,NA,NA,NA,NA,NA
DG017642,Nottingham,M,1980-05-16,2014-03-27,33.86,NA,NA,NA,NA,NA,NA,NA
DG017773,Newcastle upon Tyne,F,1977-11-22,2011-05-04,33.45,NA,NA,NA,NA,NA,NA,NA
DG018041,Glasgow,M,1985-08-14,2011-07-31,25.96,NA,NA,NA,NA,NA,NA,NA
DG018045,Liverpool,F,1980-03-05,2010-08-30,30.49,NA,NA,NA,NA,NA,NA,NA
DG018132,London,F,1972-09-12,2011-05-13,38.66,NA,NA,NA,NA,NA,NA,NA
DG018231,Birmingham,M,1982-06-28,2010-07-01,28.01,2013-07-06,36.17,8,10,-1,1,0
DG018351,Sheffield,F,1971-01-11,2012-05-17,41.35,NA,NA,NA,NA,NA,NA,NA
DG018667,Liverpool,F,1988-08-06,2010-11-26,22.31,NA,NA,NA,NA,NA,NA,NA
DG019593,Manchester,M,1943-08-11,2010-06-18,66.85,NA,NA,NA,NA,NA,NA,NA
DG019633,Southampton,F,1953-02-21,2010-11-25,57.76,2012-07-21,19.84,3,6,5,10,1
DG020026,London,M,1988-07-05,2014-06-05,25.92,NA,NA,NA,NA,NA,NA,NA
DG020118,Nottingham,F,1962-02-14,2011-10-04,49.63,NA,NA,NA,NA,NA,NA,NA
DG020325,London,M,1964-10-02,2013-11-10,49.11,NA,NA,NA,NA,NA,NA,NA
DG020696,Southampton,F,1978-07-18,2010-03-28,31.69,NA,NA,NA,NA,NA,NA,NA
DG020920,Manchester,M,1985-09-02,2010-03-16,24.53,NA,NA,NA,NA,NA,NA,NA
DG021015,Manchester,F,1973-01-01,2012-03-01,39.16,2014-06-03,27.07,4,6,3,6,1
DG021291,Southampton,F,1977-07-26,2012-06-18,34.9,2014-03-30,21.36,6,-1,-1,-1,2
DG021406,Birmingham,M,1976-05-30,2011-04-08,34.86,2012-08-16,16.3,9,9,5,0,2
DG021415,Liverpool,F,1994-10-11,2012-11-04,18.07,NA,NA,NA,NA,NA,NA,NA
DG021755,London,F,1981-12-12,2012-02-24,30.2,NA,NA,NA,NA,NA,NA,NA
DG023014,London,M,1975-11-05,2011-11-28,36.06,NA,NA,NA,NA,NA,NA,NA
DG023057,London,M,1969-05-11,2010-03-04,40.81,2010-11-29,8.87,10,9,8,10,-1
DG023291,London,M,1982-08-16,2011-02-12,28.49,NA,NA,NA,NA,NA,NA,NA
DG023316,Birmingham,M,1968-11-28,2012-12-18,44.05,NA,NA,NA,NA,NA,NA,NA
DG023331,Leeds,M,1981-01-14,2011-02-13,30.08,2011-11-11,8.9,8,6,6,10,1
DG023422,Birmingham,M,1969-02-15,2011-06-12,42.32,2014-07-16,37.13,NA,NA,NA,NA,NA
DG023476,Birmingham,F,1971-04-20,2010-12-08,39.64,NA,NA,NA,NA,NA,NA,NA
DG023590,London,F,1967-06-09,2010-11-01,43.4,NA,NA,NA,NA,NA,NA,NA
DG023851,Liverpool,M,1994-12-23,2013-01-26,18.09,NA,NA,NA,NA,NA,NA,NA
DG024262,Glasgow,M,1973-07-24,2011-06-23,37.91,NA,NA,NA,NA,NA,NA,NA
DG024624,Manchester,F,1982-01-21,2011-06-26,29.43,NA,NA,NA,NA,NA,NA,NA
DG024714,Leeds,F,1953-07-22,2011-08-12,58.06,2014-06-16,34.14,NA,NA,NA,NA,NA
DG024725,Leeds,F,1986-10-01,2013-03-20,26.47,2014-11-16,19.91,8,7,-1,9,-1
DG024838,Manchester,F,1964-04-03,2012-01-21,47.8,NA,NA,NA,NA,NA,NA,NA
DG025188,London,F,1980-04-12,2010-11-07,30.57,NA,NA,NA,NA,NA,NA,NA
DG025620,London,M,1976-10-10,2011-08-21,34.86,2014-12-21,40.02,-1,9,7,10,0
DG025773,London,M,1987-10-12,2012-08-06,24.82,NA,NA,NA,NA,NA,NA,NA
DG025854,Leeds,F,1990-06-06,2013-08-05,23.16,NA,NA,NA,NA,NA,NA,NA
DG026220,Manchester,M,1980-08-19,2013-05-13,32.73,2015-02-16,21.16,7,-1,7,-1,0
DG026251,Manchester,F,1984-11-11,2013-06-10,28.58,NA,NA,NA,NA,NA,NA,NA
DG026453,London,F,1983-09-24,2012-04-08,28.54,NA,NA,NA,NA,NA,NA,NA
DG026632,Newcastle upon Tyne,F,1977-03-19,2010-04-08,33.05,NA,NA,NA,NA,NA,NA,NA
DG027178,Leeds,M,1978-06-10,2012-06-27,34.05,NA,NA,NA,NA,NA,NA,NA
DG027344,Manchester,M,1987-06-12,2012-03-08,24.74,NA,NA,NA,NA,NA,NA,NA
DG027397,London,M,1979-08-01,2012-10-21,33.22,NA,NA,NA,NA,NA,NA,NA
DG027424,Sheffield,M,1987-03-25,2011-08-09,24.38,2013-06-11,22.08,6,-1,8,2,2
DG027544,Birmingham,F,1967-07-27,2010-09-11,43.13,2011-11-02,13.7,9,10,5,2,2
DG027998,Newcastle upon Tyne,M,1979-10-29,2012-02-14,32.3,NA,NA,NA,NA,NA,NA,NA
DG028000,Liverpool,F,1982-07-04,2012-01-22,29.55,2014-12-14,34.73,6,6,1,7,1
DG028134,Birmingham,F,1963-10-28,2013-03-22,49.4,2013-07-07,3.52,9,10,5,-1,2
DG028155,Birmingham,F,1970-07-27,2013-01-04,42.44,NA,NA,NA,NA,NA,NA,NA
DG028279,London,F,1969-02-09,2010-03-14,41.09,2012-02-15,23.1,6,8,-1,10,2
DG028371,Newcastle upon Tyne,M,1965-06-23,2011-05-27,45.92,2015-06-04,48.26,7,8,10,10,-1
DG028482,Liverpool,F,1968-09-17,2012-04-11,43.56,NA,NA,NA,NA,NA,NA,NA
DG028860,London,M,1966-10-28,2013-06-12,46.62,NA,NA,NA,NA,NA,NA,NA
DG029016,Sheffield,M,1991-02-21,2011-12-16,20.82,NA,NA,NA,NA,NA,NA,NA
DG029020,London,M,1981-08-18,2010-07-18,28.91,2011-05-10,9.72,-1,9,6,-1,0
DG029039,Liverpool,F,1987-06-25,2013-03-12,25.71,2015-05-25,26.41,5,8,1,6,2
DG029106,Birmingham,F,1982-01-05,2012-03-01,30.15,NA,NA,NA,NA,NA,NA,NA
DG029507,Newcastle upon Tyne,M,1950-11-07,2014-04-11,63.43,NA,NA,NA,NA,NA,NA,NA
DG029838,Newcastle upon Tyne,M,1993-02-08,2012-05-09,19.25,NA,NA,NA,NA,NA,NA,NA
DG029976,Glasgow,M,1977-10-13,2012-05-29,34.63,NA,NA,NA,NA,NA,NA,NA
DG030133,London,M,1987-11-22,2011-05-07,23.46,NA,NA,NA,NA,NA,NA,NA
DG030222,Glasgow,M,1986-01-23,2010-01-01,23.94,2010-04-27,3.81,8,7,-1,0,1
DG030226,London,M,1957-04-23,2011-09-27,54.43,2013-10-14,24.57,9,8,-1,-1,0
DG030618,Liverpool,F,1946-04-06,2010-11-13,64.61,NA,NA,NA,NA,NA,NA,NA
DG030692,Liverpool,F,1978-05-18,2010-02-27,31.78,NA,NA,NA,NA,NA,NA,NA
DG030731,Leeds,M,1979-03-10,2012-02-29,32.97,NA,NA,NA,NA,NA,NA,NA
DG030737,Glasgow,F,1946-06-29,2013-08-24,67.15,2015-02-05,17.41,NA,NA,NA,NA,NA
DG030835,Manchester,M,1965-02-26,2011-11-24,46.74,2015-04-18,40.77,-1,7,-1,7,0
DG030965,Liverpool,F,1958-09-16,2011-08-18,52.92,NA,NA,NA,NA,NA,NA,NA
DG031325,Leeds,M,1986-04-21,2013-09-17,27.41,NA,NA,NA,NA,NA,NA,NA
DG031580,Manchester,M,1988-02-23,2010-02-08,21.96,NA,NA,NA,NA,NA,NA,NA
DG031682,Southampton,M,1955-06-03,2013-04-28,57.9,NA,NA,NA,NA,NA,NA,NA
DG031686,Glasgow,F,1972-03-18,2011-03-06,38.97,NA,NA,NA,NA,NA,NA,NA
DG032566,Leeds,M,1986-02-16,2013-04-13,27.15,2014-01-07,8.84,NA,NA,NA,NA,NA
DG032625,Leeds,M,1984-11-28,2010-09-10,25.78,2013-05-29,32.59,-1,7,5,7,1
DG032641,Southampton,F,1979-01-30,2011-10-13,32.7,NA,NA,NA,NA,NA,NA,NA
DG032712,London,M,1973-06-09,2012-05-22,38.95,NA,NA,NA,NA,NA,NA,NA
DG032856,London,F,1977-05-05,2010-10-26,33.48,NA,NA,NA,NA,NA,NA,NA
DG032879,Birmingham,F,1968-05-02,2010-12-11,42.61,2014-12-18,48.23,7,10,5,2,1
DG033049,Manchester,M,1983-09-25,2010-07-09,26.79,NA,NA,NA,NA,NA,NA,NA
DG033245,Sheffield,F,1970-03-10,2010-02-17,39.94,2011-11-03,20.5,-1,8,6,2,4
DG033422,Manchester,M,1982-01-03,2012-09-30,30.74,2015-04-05,30.13,NA,NA,NA,NA,NA
DG033445,Leeds,F,1976-10-09,2013-10-03,36.98,NA,NA,NA,NA,NA,NA,NA
DG033602,London,F,1974-10-30,2013-04-05,38.43,NA,NA,NA,NA,NA,NA,NA
DG033762,London,F,1959-08-03,2012-03-21,52.63,NA,NA,NA,NA,NA,NA,NA
DG034108,Leeds,M,1966-09-18,2011-06-18,44.75,2012-02-23,8.21,10,-1,8,8,1
DG034269,Nottingham,M,1953-12-17,2012-06-07,58.47,NA,NA,NA,NA,NA,NA,NA
DG034538,Newcastle upon Tyne,F,1973-11-07,2010-10-06,36.91,2015-06-10,56.11,8,8,10,10,2
DG034609,Manchester,F,1968-02-11,2013-01-14,44.93,NA,NA,NA,NA,NA,NA,NA
DG035055,Nottingham,F,1975-07-03,2010-02-18,34.63,2012-07-30,29.34,7,5,-1,-1,2
DG035189,Leeds,F,1991-10-28,2012-02-27,20.33,2014-05-13,26.48,8,8,5,-1,-1
DG035829,Southampton,F,1973-06-07,2010-01-16,36.61,2014-03-13,49.84,4,6,5,10,0
DG035836,Newcastle upon Tyne,M,1968-10-08,2010-05-24,41.62,2012-05-26,24.08,8,8,10,-1,1
DG035868,Leeds,F,1967-10-13,2013-09-03,45.89,NA,NA,NA,NA,NA,NA,NA
DG035901,Manchester,M,1979-03-15,2013-05-19,34.18,2014-07-30,14.36,-1,7,5,-1,2
DG036662,Birmingham,F,1977-01-03,2010-05-20,33.37,2015-02-18,57,6,9,6,1,1
DG037280,Leeds,M,1981-12-13,2011-06-15,29.5,NA,NA,NA,NA,NA,NA,NA
DG037467,Glasgow,F,1961-11-29,2012-01-30,50.17,NA,NA,NA,NA,NA,NA,NA
DG037545,Manchester,M,1985-10-12,2014-01-25,28.29,NA,NA,NA,NA,NA,NA,NA
DG037943,Newcastle upon Tyne,F,1974-03-10,2013-01-22,38.87,2013-04-25,3.06,9,10,10,8,3
DG038291,Leeds,M,1962-05-19,2010-09-26,48.36,2015-03-28,54.01,10,8,9,7,0
DG038640,London,M,1984-07-04,2013-06-16,28.95,2013-09-18,3.09,NA,NA,NA,NA,NA
DG038762,London,F,1963-03-25,2012-09-25,49.51,NA,NA,NA,NA,NA,NA,NA
DG038914,London,M,1974-07-18,2012-06-10,37.9,2012-12-25,6.51,NA,NA,NA,NA,NA
DG038960,Southampton,M,1973-04-12,2010-01-05,36.73,NA,NA,NA,NA,NA,NA,NA
DG039333,Manchester,M,1989-04-08,2012-06-10,23.17,2013-03-20,9.3,NA,NA,NA,NA,NA
DG039394,Southampton,F,1970-06-11,2013-01-05,42.57,2013-02-23,1.61,6,9,-1,-1,3
DG039488,Sheffield,M,1983-09-26,2010-08-25,26.91,NA,NA,NA,NA,NA,NA,NA
DG039530,Birmingham,M,1987-09-18,2013-08-19,25.92,2014-07-03,10.45,10,10,7,3,1
DG039823,Glasgow,F,1977-11-30,2010-10-16,32.88,NA,NA,NA,NA,NA,NA,NA
DG039830,London,M,1968-05-21,2010-04-04,41.87,NA,NA,NA,NA,NA,NA,NA
DG040209,Nottingham,M,1976-01-23,2011-03-04,35.11,2011-07-13,4.3,8,5,5,7,1
DG040348,Manchester,M,1979-08-19,2013-07-21,33.92,2014-09-01,13.37,9,10,-1,6,4
DG040658,Liverpool,M,1980-05-01,2012-02-29,31.83,NA,NA,NA,NA,NA,NA,NA
DG040933,Southampton,M,1973-03-30,2011-05-05,38.1,NA,NA,NA,NA,NA,NA,NA
DG041226,London,M,1975-11-19,2011-06-17,35.58,NA,NA,NA,NA,NA,NA,NA
DG041511,London,M,1986-06-09,2012-10-11,26.34,2014-08-25,22.44,-1,-1,7,10,0
DG041519,Newcastle upon Tyne,F,1961-05-24,2010-10-18,49.4,NA,NA,NA,NA,NA,NA,NA
DG041588,Glasgow,M,1986-05-24,2013-08-27,27.26,NA,NA,NA,NA,NA,NA,NA
DG041715,Leeds,M,1986-11-14,2011-10-14,24.91,NA,NA,NA,NA,NA,NA,NA
DG042035,Liverpool,M,1989-08-20,2011-11-21,22.25,NA,NA,NA,NA,NA,NA,NA
DG042069,Birmingham,F,1941-07-08,2013-07-07,72,2014-08-09,13.08,8,10,4,2,1
DG042183,Leeds,M,1978-01-29,2011-10-01,33.67,2014-04-03,30.06,NA,NA,NA,NA,NA
DG042438,London,F,1974-10-20,2011-01-28,36.27,2015-03-03,49.12,7,9,9,10,0
DG043196,Manchester,M,1975-04-10,2011-09-21,36.45,NA,NA,NA,NA,NA,NA,NA
DG043501,Leeds,M,1982-03-13,2011-11-24,29.7,NA,NA,NA,NA,NA,NA,NA
DG043537,Southampton,F,1978-01-10,2012-01-24,34.04,NA,NA,NA,NA,NA,NA,NA
DG043557,London,M,1987-07-10,2011-03-30,23.72,2015-01-15,45.57,7,-1,8,10,0
DG043725,Manchester,M,1985-03-31,2013-04-24,28.07,2015-03-22,22.9,7,9,5,6,3
DG044076,Newcastle upon Tyne,F,1975-07-05,2014-03-07,38.67,NA,NA,NA,NA,NA,NA,NA
DG044229,Leeds,F,1944-12-04,2012-12-15,68.03,NA,NA,NA,NA,NA,NA,NA
DG044588,Liverpool,M,1986-03-08,2013-08-09,27.42,2015-03-06,18.86,7,7,3,7,1
DG044619,London,M,1949-01-19,2012-01-23,63.01,2015-04-28,39.13,7,8,7,10,0
DG044742,Sheffield,F,1976-03-31,2010-01-10,33.78,NA,NA,NA,NA,NA,NA,NA
DG044953,Sheffield,M,1980-04-02,2011-05-01,31.08,2011-07-06,2.17,5,9,8,1,-1
DG045039,London,F,1975-02-05,2011-10-19,36.7,NA,NA,NA,NA,NA,NA,NA
DG045165,Nottingham,M,1977-04-18,2012-06-30,35.2,NA,NA,NA,NA,NA,NA,NA
DG045481,Birmingham,F,1968-12-06,2010-04-25,41.38,2014-10-26,54.05,7,7,5,0,0
DG045487,Glasgow,F,1957-12-07,2011-06-30,53.56,NA,NA,NA,NA,NA,NA,NA
DG045530,Birmingham,F,1967-03-21,2013-05-26,46.18,2015-04-19,22.77,6,-1,4,1,0
DG045604,Glasgow,M,1981-07-09,2011-09-02,30.15,NA,NA,NA,NA,NA,NA,NA
DG045656,Leeds,M,1964-11-29,2012-07-12,47.62,NA,NA,NA,NA,NA,NA,NA
DG045709,Glasgow,M,1978-12-01,2011-02-24,32.23,2015-06-29,52.11,-1,8,-1,0,-1
DG045999,Manchester,F,1975-03-08,2010-07-21,35.37,2013-03-03,31.41,5,9,3,4,1
DG046062,Leeds,M,1980-09-28,2011-06-15,30.71,2012-06-26,12.39,9,6,5,7,2
DG046090,London,M,1974-04-10,2010-04-15,36.01,2014-09-02,52.6,7,6,-1,-1,-1
DG046188,Nottingham,F,1974-03-30,2012-12-02,38.68,NA,NA,NA,NA,NA,NA,NA
DG046440,Leeds,F,1990-04-05,2012-12-13,22.69,NA,NA,NA,NA,NA,NA,NA
DG046783,Glasgow,F,1976-11-06,2011-04-27,34.47,2012-01-02,8.21,7,7,5,0,2
DG046810,London,M,1982-09-10,2010-01-14,27.35,NA,NA,NA,NA,NA,NA,NA
DG048049,Manchester,M,1950-08-07,2012-02-20,61.54,NA,NA,NA,NA,NA,NA,NA
DG048053,Nottingham,M,1988-01-18,2011-03-04,23.12,2014-12-13,45.34,9,-1,8,-1,-1
DG048057,Birmingham,F,1972-12-14,2011-12-11,38.99,NA,NA,NA,NA,NA,NA,NA
DG048089,London,F,1976-11-10,2011-10-22,34.95,2015-02-23,40.08,8,10,8,10,0
DG048216,Birmingham,M,1969-07-25,2010-09-10,41.13,NA,NA,NA,NA,NA,NA,NA
DG048239,Sheffield,M,1975-11-23,2011-02-02,35.2,NA,NA,NA,NA,NA,NA,NA
